dimension,key,maturity_year,companies
state,AZ,2040,53
state,AZ,2041,43
state,AZ,2042,55
state,AZ,2043,49
state,AZ,2044,34
state,AZ,2045,51
state,AZ,2046,58
state,AZ,2047,54
state,AZ,2048,31
state,AZ,2049,47
state,AZ,2050,65
state,AZ,2051,24
state,AZ,2052,1
state,CA,2004,1
state,CA,2006,2
state,CA,2007,4
state,CA,2009,1
state,CA,2010,5
state,CA,2011,15
state,CA,2012,15
state,CA,2013,18
state,CA,2014,39
state,CA,2015,62
state,CA,2016,98
state,CA,2017,96
state,CA,2018,111
state,CA,2019,161
state,CA,2020,201
state,CA,2021,272
state,CA,2022,277
state,CA,2023,328
state,CA,2024,389
state,CA,2025,447
state,CA,2026,487
state,CA,2027,508
state,CA,2028,353
state,CA,2029,353
state,CA,2030,361
state,CA,2031,350
state,CA,2032,343
state,CA,2033,309
state,CA,2034,443
state,CA,2035,536
state,CA,2036,308
state,CA,2037,310
state,CA,2038,267
state,CA,2039,240
state,CA,2040,232
state,CA,2041,264
state,CA,2042,245
state,CA,2043,266
state,CA,2044,271
state,CA,2045,334
state,CA,2046,478
state,CA,2047,337
state,CA,2048,265
state,CA,2049,282
state,CA,2050,268
state,CA,2051,109
state,CA,2052,1
state,CO,2002,1
state,CO,2010,1
state,CO,2011,3
state,CO,2012,1
state,CO,2013,5
state,CO,2014,11
state,CO,2015,14
state,CO,2016,19
state,CO,2017,17
state,CO,2018,27
state,CO,2019,27
state,CO,2020,43
state,CO,2021,47
state,CO,2022,50
state,CO,2023,61
state,CO,2024,67
state,CO,2025,77
state,CO,2026,86
state,CO,2027,86
state,CO,2028,101
state,CO,2029,88
state,CO,2030,84
state,CO,2031,100
state,CO,2032,80
state,CO,2033,78
state,CO,2034,90
state,CO,2035,126
state,CO,2036,70
state,CO,2037,43
state,CO,2038,50
state,CO,2039,45
state,CO,2040,55
state,CO,2041,57
state,CO,2042,45
state,CO,2043,52
state,CO,2044,54
state,CO,2045,59
state,CO,2046,91
state,CO,2047,85
state,CO,2048,54
state,CO,2049,46
state,CO,2050,43
state,CO,2051,21
state,CO,2052,1
state,HI,2010,1
state,HI,2015,3
state,HI,2016,5
state,HI,2017,2
state,HI,2018,5
state,HI,2019,3
state,HI,2020,5
state,HI,2021,3
state,HI,2022,9
state,HI,2023,5
state,HI,2024,5
state,HI,2025,8
state,HI,2026,6
state,HI,2027,3
state,HI,2028,10
state,HI,2029,11
state,HI,2030,7
state,HI,2031,7
state,HI,2032,8
state,HI,2033,7
state,HI,2034,7
state,HI,2035,6
state,HI,2036,5
state,HI,2037,5
state,HI,2038,2
state,HI,2039,1
state,HI,2040,1
state,HI,2041,1
state,HI,2043,4
state,HI,2044,1
state,HI,2045,1
state,HI,2046,9
state,HI,2047,3
state,HI,2048,3
state,HI,2049,1
state,HI,2050,4
state,HI,2051,1
state,ID,2002,2
state,ID,2011,2
state,ID,2012,1
state,ID,2013,1
state,ID,2014,2
state,ID,2015,3
state,ID,2016,6
state,ID,2017,12
state,ID,2018,8
state,ID,2019,11
state,ID,2020,23
state,ID,2021,21
state,ID,2022,27
state,ID,2023,21
state,ID,2024,39
state,ID,2025,30
state,ID,2026,42
state,ID,2027,41
state,ID,2028,27
state,ID,2029,30
state,ID,2030,24
state,ID,2031,22
state,ID,2032,38
state,ID,2033,29
state,ID,2034,28
state,ID,2035,39
state,ID,2036,23
state,ID,2037,17
state,ID,2038,15
state,ID,2039,19
state,ID,2040,14
state,ID,2041,18
state,ID,2042,13
state,ID,2043,17
state,ID,2044,19
state,ID,2045,24
state,ID,2046,29
state,ID,2047,20
state,ID,2048,11
state,ID,2049,11
state,ID,2050,17
state,ID,2051,8
state,MT,2010,2
state,MT,2011,1
state,MT,2012,2
state,MT,2013,1
state,MT,2014,1
state,MT,2015,2
state,MT,2016,4
state,MT,2017,4
state,MT,2018,4
state,MT,2019,12
state,MT,2020,10
state,MT,2021,7
state,MT,2022,7
state,MT,2023,14
state,MT,2024,4
state,MT,2025,9
state,MT,2026,9
state,MT,2027,11
state,MT,2028,8
state,MT,2029,13
state,MT,2030,17
state,MT,2031,18
state,MT,2032,17
state,MT,2033,9
state,MT,2034,12
state,MT,2035,11
state,MT,2036,11
state,MT,2037,9
state,MT,2038,3
state,MT,2039,5
state,MT,2040,12
state,MT,2041,4
state,MT,2042,5
state,MT,2043,4
state,MT,2044,6
state,MT,2045,7
state,MT,2046,15
state,MT,2047,3
state,MT,2048,7
state,MT,2049,6
state,MT,2050,7
state,MT,2051,3
state,NM,2013,1
state,NM,2014,4
state,NM,2015,4
state,NM,2016,10
state,NM,2017,5
state,NM,2018,1
state,NM,2019,8
state,NM,2020,7
state,NM,2021,8
state,NM,2022,7
state,NM,2023,8
state,NM,2024,5
state,NM,2025,11
state,NM,2026,13
state,NM,2027,16
state,NM,2028,11
state,NM,2029,12
state,NM,2030,10
state,NM,2031,16
state,NM,2032,9
state,NM,2033,5
state,NM,2034,14
state,NM,2035,20
state,NM,2036,9
state,NM,2037,15
state,NM,2038,4
state,NM,2039,7
state,NM,2040,9
state,NM,2041,14
state,NM,2042,10
state,NM,2043,9
state,NM,2044,18
state,NM,2045,9
state,NM,2046,10
state,NM,2047,13
state,NM,2048,5
state,NM,2049,4
state,NM,2050,4
state,NM,2051,1
state,NV,2009,1
state,NV,2011,3
state,NV,2012,6
state,NV,2013,5
state,NV,2014,7
state,NV,2015,5
state,NV,2016,10
state,NV,2017,9
state,NV,2018,13
state,NV,2019,11
state,NV,2020,14
state,NV,2021,14
state,NV,2022,16
state,NV,2023,25
state,NV,2024,30
state,NV,2025,29
state,NV,2026,42
state,NV,2027,38
state,NV,2028,23
state,NV,2029,17
state,NV,2030,21
state,NV,2031,28
state,NV,2032,27
state,NV,2033,21
state,NV,2034,23
state,NV,2035,45
state,NV,2036,14
state,NV,2037,30
state,NV,2038,13
state,NV,2039,13
state,NV,2040,18
state,NV,2041,15
state,NV,2042,14
state,NV,2043,14
state,NV,2044,23
state,NV,2045,24
state,NV,2046,33
state,NV,2047,25
state,NV,2048,9
state,NV,2049,21
state,NV,2050,19
state,NV,2051,6
state,OR,2011,5
state,OR,2012,1
state,OR,2013,1
state,OR,2014,2
state,OR,2015,2
state,OR,2016,8
state,OR,2017,7
state,OR,2018,9
state,OR,2019,17
state,OR,2020,20
state,OR,2021,19
state,OR,2022,25
state,OR,2023,17
state,OR,2024,17
state,OR,2025,17
state,OR,2026,40
state,OR,2027,29
state,OR,2028,29
state,OR,2029,28
state,OR,2030,27
state,OR,2031,32
state,OR,2032,35
state,OR,2033,29
state,OR,2034,41
state,OR,2035,55
state,OR,2036,22
state,OR,2037,31
state,OR,2038,25
state,OR,2039,20
state,OR,2040,20
state,OR,2041,14
state,OR,2042,15
state,OR,2043,13
state,OR,2044,16
state,OR,2045,27
state,OR,2046,44
state,OR,2047,29
state,OR,2048,12
state,OR,2049,9
state,OR,2050,19
state,OR,2051,3
state,UT,2002,1
state,UT,2006,1
state,UT,2010,3
state,UT,2012,4
state,UT,2013,8
state,UT,2014,12
state,UT,2015,23
state,UT,2016,24
state,UT,2017,19
state,UT,2018,16
state,UT,2019,25
state,UT,2020,35
state,UT,2021,41
state,UT,2022,43
state,UT,2023,54
state,UT,2024,51
state,UT,2025,65
state,UT,2026,67
state,UT,2027,54
state,UT,2028,73
state,UT,2029,55
state,UT,2030,55
state,UT,2031,71
state,UT,2032,63
state,UT,2033,51
state,UT,2034,78
state,UT,2035,76
state,UT,2036,57
state,UT,2037,43
state,UT,2038,30
state,UT,2039,19
state,UT,2040,25
state,UT,2041,21
